TICKER
SPY
GLD
VWO
EEM
EFA
QQQ
IVV
TIP
VTI
LQD
IWF
IWM
BND
AGG
HYG
IWD
DIA
JNK
VNQ
IJH
VIG
EWZ
DVY
MDY
SHY
SLV
IAU
XLK
SDY
CSJ
PFF
XLE
VEA
IJR
BSV
XLF
VUG
IVW
IWB
VEU
IWR
GDX
FXI
XLU
MOO
DBC
VTV
EWJ
XLP
MBB
EWC
IVE
CIU
IEF
VB
EMB
AMJ
IWO
XLV
IWN
IYR
VO
TBT
IWP
OEF
DEM
XLI
EWY
EPP
IWV
VV
EWG
XLY
IWS
VYM
RSP
IJK
BIV
TLT
VOO
MUB
AMLP
VCSH
EWA
VGK
ICF
RWX
ACWI
EWT
DJP
AAXJ
SHV
VGT
IJS
IJJ
IEI
RSX
VBK
ILF
